Pillar,Cluster,Pillar Page,#,Article Title,Primary KW,Volume,KD,Status,Search Intent
PILLAR 6: Creator Growth & Marketing,Cluster 6A: YouTube SEO & Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",109,🆕 Best YouTube SEO Tools (2026),youtube seo tools,"2,000",18,NEW,"Informational,Non-branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6A: YouTube SEO & Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",110,🆕 YouTube Booster: Grow Your Channel Faster,youtube booster,600,11,NEW,"Informational,Commercial,Branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6A: YouTube SEO & Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",111,🆕 YouTube Sponsorship Websites: How to Get Sponsors,youtube sponsorship websites,150,10,NEW,"Informational,Commercial,Non-branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6A: YouTube SEO & Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",112,🆕 YouTube Backlink Generator: Does It Work?,youtube backlink generator,150,14,NEW,"Informational,Branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6B: Instagram Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",113,🆕 Instagram Automation Tools (2026),instagram automation tools,200,0,NEW,"Informational,Commercial,Non-branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6B: Instagram Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",114,🆕 How to Build a Following on Instagram,how to build a following on instagram,150,0,NEW,"Informational,Branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6B: Instagram Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",115,🆕 How to Grow Your Photography Instagram,how to grow your photography instagram,300,0,NEW,"Informational,Branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6C: TikTok Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",116,🆕 TikTok Agency: Best Agencies for Creators,tiktok agency,"2,100",12,NEW,"Informational,Commercial,Branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6C: TikTok Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",117,🆕 Promote TikTok Video for Free,promote tiktok video free,300,0,NEW,"Informational,Non-branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6C: TikTok Growth,"""Social Media Growth Guide: Grow Your Following on Any Platform""",118,🆕 Using TikTok SEO for Audience Growth,using tiktok seo for the growth of the audience,200,0,NEW,"Informational,Non-branded,Non-local"
PILLAR 6: Creator Growth & Marketing,Cluster 6D: Content Creator Fundamentals (Existing Content),"""Social Media Growth Guide: Grow Your Following on Any Platform""",119,✅ How to Become a Content Creator,content creator guide,—,—,EXISTING,Intent Not Found
PILLAR 6: Creator Growth & Marketing,Cluster 6D: Content Creator Fundamentals (Existing Content),"""Social Media Growth Guide: Grow Your Following on Any Platform""",120,✅ Successful Faceless YouTube Channels,faceless youtube channels,—,—,EXISTING,Intent Not Found
PILLAR 6: Creator Growth & Marketing,Cluster 6D: Content Creator Fundamentals (Existing Content),"""Social Media Growth Guide: Grow Your Following on Any Platform""",121,✅ 10 TikTok Editing Tips to Go Viral,tiktok editing tips,—,—,EXISTING,Intent Not Found
PILLAR 6: Creator Growth & Marketing,Cluster 6D: Content Creator Fundamentals (Existing Content),"""Social Media Growth Guide: Grow Your Following on Any Platform""",122,✅ Best Free Video Editors for TikTok,free video editors tiktok,—,—,EXISTING,Intent Not Found
PILLAR 7: Social Commerce & Monetization,Cluster 7A: Account Trading,"""Social Media Monetization Guide: Coins, Sales & More""",123,🆕 Instagram Accounts for Sale: Complete Buyer's Guide,instagram accounts for sale,"1,600",14,NEW,"Commercial,Transactional,Non-branded,Non-local"
PILLAR 7: Social Commerce & Monetization,Cluster 7A: Account Trading,"""Social Media Monetization Guide: Coins, Sales & More""",124,🆕 TikTok Accounts for Sale: How to Buy/Sell Safely,tiktok account for sale,900,1,NEW,"Commercial,Transactional,Branded,Non-local"
PILLAR 7: Social Commerce & Monetization,Cluster 7A: Account Trading,"""Social Media Monetization Guide: Coins, Sales & More""",125,🆕 Instagram Usernames for Sale: How It Works,instagram usernames for sale,300,0,NEW,"Commercial,Transactional,Non-branded,Non-local"
PILLAR 7: Social Commerce & Monetization,Cluster 7B: TikTok Virtual Currency,"""Social Media Monetization Guide: Coins, Sales & More""",126,🆕 ⭐ How to Get TikTok Coins (Free & Paid Methods),get tiktok coins,"1,800",0,NEW,"Commercial,Transactional,Branded,Non-local"
PILLAR 7: Social Commerce & Monetization,Cluster 7B: TikTok Virtual Currency,"""Social Media Monetization Guide: Coins, Sales & More""",127,🆕 TikTok Diamond Calculator: Convert Diamonds to Cash,tiktok diamond calculator,200,0,NEW,"Informational,Branded,Non-local"
PILLAR 7: Social Commerce & Monetization,Cluster 7C: Modded Apps,"""Social Media Monetization Guide: Coins, Sales & More""",128,🆕 YouTube Music Mod APK: Is It Safe?,youtube music mod apk,"2,000",19,NEW,"Transactional,Branded,Non-local"
PILLAR 7: Social Commerce & Monetization,Cluster 7C: Modded Apps,"""Social Media Monetization Guide: Coins, Sales & More""",129,🆕 TikTok Mod APK: Risks & Alternatives,tiktok mod apk,"1,200",19,NEW,"Transactional,Branded,Non-local"
PILLAR 7: Social Commerce & Monetization,Cluster 7C: Modded Apps,"""Social Media Monetization Guide: Coins, Sales & More""",130,🆕 Instagram Mod APK: What You Need to Know,instagram mod apk,700,15,NEW,"Transactional,Branded,Non-local"
